Age,EducationNum,MaritalStatus,Occupation,Relationship,Race,Gender,Hours/Week,Country,Income
22,7,Never-married,Farming-fishing,Other-relative,White,Male,40,Mexico,<=50K.
39,10,Divorced,?,Not-in-family,White,Male,65,Puerto-Rico,<=50K.
38,10,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Female,40,United-States,<=50K.
30,10,Never-married,Prof-specialty,Not-in-family,White,Female,5,United-States,<=50K.
23,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K.
27,10,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K.
31,10,Married-civ-spouse,Protective-serv,Husband,White,Male,72,United-States,<=50K.
20,10,Never-married,?,Own-child,White,Male,40,United-States,<=50K.
58,9,Divorced,Other-service,Own-child,White,Female,40,United-States,<=50K.
42,12,Never-married,Tech-support,Not-in-family,White,Male,36,United-States,>50K.
20,10,Never-married,Craft-repair,Own-child,White,Male,20,United-States,<=50K.
47,13,Married-civ-spouse,Exec-managerial,Husband,Other,Male,40,Peru,>50K.
57,16,Divorced,Prof-specialty,Not-in-family,White,Female,25,United-States,<=50K.
47,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K.
49,13,Never-married,Prof-specialty,Unmarried,White,Male,60,United-States,>50K.
18,7,Never-married,Adm-clerical,Own-child,Black,Female,20,United-States,<=50K.
64,3,Widowed,Priv-house-serv,Unmarried,Black,Female,4,United-States,<=50K.
29,9,Separated,Craft-repair,Unmarried,White,Male,35,United-States,<=50K.
47,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,>50K.
40,9,Separated,?,Own-child,White,Male,45,United-States,<=50K.
28,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K.
24,13,Never-married,Sales,Own-child,White,Male,4,United-States,<=50K.
34,9,Never-married,Other-service,Not-in-family,White,Male,40,Puerto-Rico,>50K.
34,13,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K.
31,7,Married-civ-spouse,Sales,Husband,White,Male,51,United-States,<=50K.
23,9,Never-married,Tech-support,Not-in-family,White,Male,48,United-States,<=50K.
20,9,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K.
25,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K.
32,10,Divorced,Sales,Not-in-family,White,Male,40,United-States,<=50K.
44,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K.
28,8,Never-married,Handlers-cleaners,Unmarried,White,Male,40,Mexico,<=50K.
48,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K.
18,10,Never-married,?,Own-child,White,Male,40,United-States,<=50K.
43,14,Divorced,Prof-specialty,Not-in-family,White,Male,40,Canada,<=50K.
52,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K.
53,7,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K.
57,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K.
45,9,Divorced,Craft-repair,Own-child,White,Female,40,United-States,<=50K.
45,14,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,36,United-States,<=50K.
34,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,35,United-States,<=50K.
44,9,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,<=50K.
25,5,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,Mexico,<=50K.
27,13,Never-married,Sales,Not-in-family,White,Male,50,United-States,<=50K.
28,10,Never-married,?,Own-child,Asian-Pac-Islander,Male,40,South,<=50K.
36,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K.
61,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K.
52,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,45,United-States,<=50K.
19,10,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K.
53,3,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,50,Philippines,<=50K.
55,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K.
37,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
51,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K.
29,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,45,United-States,<=50K.
45,10,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K.
64,16,Widowed,Prof-specialty,Not-in-family,Black,Male,50,United-States,>50K.
56,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K.
56,10,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K.
38,9,Married-civ-spouse,Sales,Husband,White,Male,78,United-States,<=50K.
23,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K.
29,14,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,<=50K.
33,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K.
35,9,Never-married,Handlers-cleaners,Own-child,White,Female,20,United-States,<=50K.
25,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,<=50K.
37,9,Married-civ-spouse,Transport-moving,Husband,White,Male,55,United-States,>50K.
28,14,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,36,Philippines,<=50K.
67,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K.
22,11,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K.
23,8,Never-married,Other-service,Not-in-family,White,Male,20,United-States,<=50K.
22,10,Never-married,Exec-managerial,Own-child,Black,Male,35,United-States,<=50K.
68,10,Widowed,Craft-repair,Not-in-family,White,Male,10,United-States,<=50K.
31,9,Never-married,Priv-house-serv,Not-in-family,White,Female,40,El-Salvador,<=50K.
51,13,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K.
64,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,United-States,>50K.
35,13,Divorced,Other-service,Own-child,White,Female,40,United-States,<=50K.
26,14,Never-married,Prof-specialty,Not-in-family,Black,Female,40,United-States,<=50K.
42,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
20,9,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,25,United-States,<=50K.
46,9,Divorced,Other-service,Not-in-family,White,Female,60,United-States,<=50K.
35,9,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,<=50K.
51,6,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K.
34,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,>50K.
50,13,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K.
48,13,Divorced,Sales,Not-in-family,White,Male,60,United-States,<=50K.
51,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
27,13,Never-married,Tech-support,Not-in-family,White,Male,40,United-States,<=50K.
28,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,United-States,<=50K.
37,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,46,United-States,<=50K.
39,13,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,<=50K.
22,13,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K.
28,9,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K.
38,9,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K.
41,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,60,United-States,>50K.
41,14,Divorced,Other-service,Unmarried,White,Female,30,United-States,<=50K.
36,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K.
24,10,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K.
24,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K.
28,7,Separated,Other-service,Not-in-family,White,Male,40,United-States,<=50K.
28,9,Married-civ-spouse,Other-service,Husband,White,Male,50,United-States,<=50K.
49,9,Never-married,Other-service,Not-in-family,White,Male,38,United-States,<=50K.
17,7,Never-married,Other-service,Own-child,White,Male,10,Puerto-Rico,<=50K.
54,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,France,>50K.
41,12,Never-married,Adm-clerical,Not-in-family,White,Female,45,United-States,<=50K.
35,14,Never-married,Prof-specialty,Own-child,White,Female,25,United-States,<=50K.
18,7,Never-married,Other-service,Own-child,White,Male,23,United-States,<=50K.
42,7,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K.
60,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,>50K.
49,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,84,United-States,<=50K.
57,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,55,United-States,<=50K.
43,12,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K.
37,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K.
28,10,Married-civ-spouse,?,Other-relative,White,Female,20,United-States,<=50K.
20,9,Never-married,Sales,Not-in-family,White,Male,60,United-States,<=50K.
57,11,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K.
24,12,Never-married,Adm-clerical,Own-child,White,Female,35,United-States,<=50K.
20,10,Never-married,Handlers-cleaners,Own-child,White,Female,40,United-States,<=50K.
42,11,Divorced,Prof-specialty,Not-in-family,White,Female,36,United-States,<=50K.
81,15,Married-civ-spouse,Farming-fishing,Husband,White,Male,2,United-States,>50K.
21,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K.
43,9,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K.
39,13,Separated,Prof-specialty,Unmarried,White,Female,50,United-States,>50K.
41,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,?,>50K.
32,3,Married-civ-spouse,Craft-repair,Husband,Other,Male,45,Mexico,>50K.
48,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,El-Salvador,<=50K.
50,5,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K.
26,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,64,United-States,<=50K.
18,8,Never-married,?,Not-in-family,White,Female,30,United-States,<=50K.
54,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K.
59,9,Never-married,Exec-managerial,Other-relative,White,Female,40,United-States,<=50K.
38,9,Divorced,Exec-managerial,Unmarried,White,Male,40,United-States,<=50K.
53,9,Divorced,Other-service,Not-in-family,Black,Male,40,United-States,<=50K.
42,13,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K.
53,10,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K.
18,10,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K.
56,10,Divorced,Sales,Not-in-family,White,Male,60,United-States,>50K.
28,9,Divorced,Craft-repair,Unmarried,White,Male,40,?,<=50K.
33,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K.
43,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
36,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,44,United-States,>50K.
31,9,Separated,Handlers-cleaners,Not-in-family,White,Male,70,United-States,<=50K.
33,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K.
46,12,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K.
31,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,36,United-States,<=50K.
47,11,Divorced,?,Not-in-family,White,Female,40,United-States,<=50K.
41,6,Divorced,Handlers-cleaners,Unmarried,White,Female,40,United-States,<=50K.
28,11,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,18,United-States,<=50K.
35,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K.
28,9,Married-spouse-absent,Adm-clerical,Own-child,White,Female,40,United-States,<=50K.
42,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,43,United-States,>50K.
47,10,Married-civ-spouse,Protective-serv,Husband,White,Male,44,United-States,<=50K.
63,13,Married-civ-spouse,?,Husband,White,Male,40,United-States,<=50K.
63,13,Widowed,Prof-specialty,Not-in-family,White,Female,48,United-States,<=50K.
39,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,40,United-States,<=50K.
23,12,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K.
41,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K.
31,13,Never-married,Prof-specialty,Not-in-family,White,Male,52,United-States,<=50K.
52,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,>50K.
64,14,Never-married,Prof-specialty,Not-in-family,White,Female,30,?,<=50K.
62,13,Married-civ-spouse,Sales,Husband,White,Male,20,United-States,>50K.
48,13,Married-civ-spouse,Tech-support,Husband,White,Male,35,United-States,>50K.
22,10,Never-married,?,Own-child,Asian-Pac-Islander,Male,24,?,<=50K.
18,10,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,40,United-States,<=50K.
46,9,Divorced,Sales,Not-in-family,White,Female,33,United-States,<=50K.
29,12,Divorced,Handlers-cleaners,Not-in-family,White,Female,40,United-States,<=50K.
44,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,35,United-States,<=50K.
21,13,Never-married,?,Own-child,White,Male,40,United-States,<=50K.
47,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K.
60,11,Widowed,Machine-op-inspct,Not-in-family,White,Female,45,Poland,<=50K.
24,10,Never-married,Sales,Own-child,White,Male,35,United-States,<=50K.
61,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K.
34,7,Never-married,Sales,Unmarried,White,Female,65,Guatemala,<=50K.
30,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K.
36,12,Never-married,Prof-specialty,Own-child,Black,Male,40,United-States,<=50K.
45,13,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K.
45,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K.
47,15,Never-married,Prof-specialty,Not-in-family,White,Male,20,United-States,<=50K.
37,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,40,Philippines,>50K.
35,12,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K.
23,8,Never-married,Other-service,Not-in-family,White,Male,60,United-States,<=50K.
34,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K.
27,10,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K.
44,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,Germany,<=50K.
44,14,Never-married,Prof-specialty,Not-in-family,White,Male,40,Hungary,>50K.
20,9,Never-married,Transport-moving,Own-child,White,Female,35,United-States,<=50K.
30,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K.
33,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,>50K.
28,3,Never-married,Craft-repair,Not-in-family,White,Male,40,Hong,<=50K.
35,6,Divorced,Sales,Unmarried,White,Female,38,United-States,<=50K.
41,9,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K.
33,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K.
33,10,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K.
36,9,Widowed,Other-service,Unmarried,White,Female,8,United-States,<=50K.
25,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K.
19,9,Never-married,Other-service,Not-in-family,White,Female,18,United-States,<=50K.
53,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,48,United-States,>50K.
35,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,<=50K.
40,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,45,South,>50K.
27,13,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,<=50K.
50,9,Divorced,Transport-moving,Not-in-family,White,Male,50,United-States,<=50K.
47,10,Married-civ-spouse,?,Wife,White,Female,8,United-States,<=50K.
33,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,>50K.
28,7,Never-married,?,Unmarried,Black,Female,30,United-States,<=50K.
36,9,Divorced,Farming-fishing,Not-in-family,White,Male,50,United-States,<=50K.
48,4,Divorced,Other-service,Not-in-family,White,Male,40,United-States,<=50K.
48,10,Divorced,Transport-moving,Unmarried,White,Female,53,United-States,<=50K.
43,10,Divorced,Sales,Not-in-family,White,Male,42,United-States,<=50K.
76,6,Divorced,Transport-moving,Not-in-family,Black,Male,20,United-States,<=50K.
23,9,Never-married,Other-service,Not-in-family,Black,Female,55,United-States,<=50K.
29,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K.
57,3,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K.
62,13,Married-civ-spouse,Craft-repair,Husband,White,Male,6,United-States,<=50K.
26,9,Never-married,Adm-clerical,Own-child,White,Male,50,United-States,<=50K.
42,13,Divorced,Prof-specialty,Other-relative,White,Female,55,United-States,<=50K.
36,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,31,United-States,>50K.
43,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,75,United-States,<=50K.
28,10,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K.
33,9,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K.
48,9,Never-married,Sales,Unmarried,White,Female,40,United-States,<=50K.
32,15,Married-AF-spouse,Prof-specialty,Wife,White,Female,60,United-States,>50K.
30,13,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K.
18,9,Never-married,Adm-clerical,Own-child,White,Female,20,United-States,<=50K.
58,13,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,>50K.
52,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,?,>50K.
25,14,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,<=50K.
39,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K.
39,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,United-States,>50K.
18,9,Never-married,Adm-clerical,Own-child,Black,Female,40,United-States,<=50K.
55,9,Divorced,Sales,Unmarried,White,Female,40,United-States,<=50K.
26,9,Married-civ-spouse,Tech-support,Husband,White,Male,75,United-States,>50K.
69,15,Married-civ-spouse,?,Husband,White,Male,35,United-States,>50K.
21,10,Never-married,Adm-clerical,Own-child,White,Female,10,?,<=50K.
19,6,Never-married,Farming-fishing,Own-child,White,Male,40,United-States,<=50K.
21,10,Never-married,Craft-repair,Own-child,White,Male,25,United-States,<=50K.
36,13,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,<=50K.
49,9,Widowed,?,Not-in-family,White,Female,80,United-States,<=50K.
42,4,Divorced,Other-service,Unmarried,White,Female,40,?,<=50K.
40,11,Divorced,Handlers-cleaners,Not-in-family,White,Female,35,United-States,<=50K.
35,13,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,>50K.
31,7,Never-married,Other-service,Own-child,White,Male,30,Poland,<=50K.
45,9,Widowed,Farming-fishing,Unmarried,White,Male,65,United-States,<=50K.
52,9,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K.
23,12,Never-married,Sales,Own-child,White,Female,35,United-States,<=50K.
29,7,Separated,Other-service,Own-child,Black,Female,40,United-States,<=50K.
42,11,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,>50K.
36,9,Never-married,?,Own-child,White,Male,40,United-States,<=50K.
61,10,Divorced,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K.
58,4,Separated,Other-service,Not-in-family,White,Female,24,United-States,<=50K.
47,9,Never-married,Sales,Not-in-family,White,Female,65,United-States,>50K.
31,13,Never-married,Adm-clerical,Not-in-family,White,Male,50,United-States,<=50K.
53,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,United-States,<=50K.
34,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K.
62,10,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,40,United-States,<=50K.
23,10,Never-married,Prof-specialty,Not-in-family,Other,Female,35,United-States,<=50K.
47,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,England,>50K.
59,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K.
17,6,Never-married,Craft-repair,Own-child,White,Female,30,United-States,<=50K.
40,13,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,40,United-States,<=50K.
38,9,Married-civ-spouse,Craft-repair,Husband,White,Male,47,United-States,<=50K.
45,10,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K.
46,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
57,9,Married-civ-spouse,Other-service,Husband,White,Male,60,United-States,<=50K.
22,11,Never-married,Adm-clerical,Own-child,White,Male,10,United-States,<=50K.
30,9,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K.
42,13,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K.
32,7,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,>50K.
40,5,Never-married,Craft-repair,Other-relative,Black,Male,40,United-States,<=50K.
50,9,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,>50K.
45,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K.
38,10,Separated,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K.
29,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,47,United-States,<=50K.
31,10,Married-civ-spouse,Sales,Husband,White,Male,44,United-States,>50K.
31,9,Separated,Other-service,Unmarried,White,Female,24,United-States,<=50K.
49,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,>50K.
46,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
55,9,Married-civ-spouse,Transport-moving,Husband,White,Male,35,United-States,<=50K.
82,9,Divorced,Exec-managerial,Not-in-family,White,Male,12,United-States,<=50K.
45,10,Married-civ-spouse,Tech-support,Husband,White,Male,37,United-States,>50K.
35,12,Married-civ-spouse,?,Wife,White,Female,12,United-States,>50K.
41,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K.
21,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K.
19,8,Never-married,Sales,Own-child,White,Female,30,United-States,<=50K.
41,9,Separated,Handlers-cleaners,Unmarried,White,Male,40,United-States,<=50K.
40,9,Divorced,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K.
44,9,Separated,Machine-op-inspct,Own-child,Black,Male,40,United-States,<=50K.
21,9,Never-married,Other-service,Other-relative,White,Male,40,United-States,<=50K.
39,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,<=50K.
63,9,Married-civ-spouse,Transport-moving,Husband,White,Male,35,United-States,>50K.
53,9,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,40,United-States,>50K.
55,9,Married-spouse-absent,?,Unmarried,Black,Female,40,United-States,<=50K.
19,10,Married-AF-spouse,Handlers-cleaners,Wife,White,Female,40,United-States,<=50K.
45,13,Never-married,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K.
52,10,Divorced,Transport-moving,Not-in-family,White,Male,84,United-States,<=50K.
17,8,Never-married,Prof-specialty,Own-child,White,Male,18,United-States,<=50K.
35,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K.
45,13,Never-married,Sales,Not-in-family,White,Female,50,United-States,<=50K.
46,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,45,United-States,<=50K.
50,13,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K.
25,9,Never-married,Sales,Unmarried,White,Female,40,United-States,<=50K.
39,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
51,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K.
52,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K.
55,6,Widowed,?,Not-in-family,White,Female,45,United-States,<=50K.
48,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K.
27,9,Never-married,Handlers-cleaners,Own-child,White,Male,32,United-States,<=50K.
30,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K.
29,6,Never-married,Farming-fishing,Not-in-family,White,Male,40,United-States,<=50K.
53,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K.
26,9,Never-married,Adm-clerical,Unmarried,Black,Female,40,Jamaica,<=50K.
27,9,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K.
58,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K.
19,9,Never-married,Craft-repair,Own-child,White,Male,40,England,<=50K.
22,10,Never-married,Other-service,Own-child,Black,Male,20,United-States,<=50K.
29,11,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K.
44,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
55,11,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K.
36,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,30,United-States,>50K.
41,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K.
57,9,Never-married,Other-service,Other-relative,Black,Female,32,United-States,<=50K.
34,9,Never-married,Protective-serv,Not-in-family,White,Male,40,United-States,<=50K.
80,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,30,United-States,<=50K.
59,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,United-States,<=50K.
58,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K.
51,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,38,United-States,<=50K.
34,9,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K.
45,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K.
28,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K.
32,10,Divorced,Exec-managerial,Not-in-family,White,Male,50,Puerto-Rico,<=50K.
44,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,70,United-States,>50K.
23,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K.
33,8,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,<=50K.
39,13,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,<=50K.
26,10,Never-married,Craft-repair,Unmarried,White,Male,40,Mexico,<=50K.
39,9,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,>50K.
35,9,Divorced,Sales,Not-in-family,White,Male,60,United-States,>50K.
53,14,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K.
41,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K.
90,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K.
44,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K.
19,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K.
81,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,21,United-States,<=50K.
19,11,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K.
40,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K.
28,9,Divorced,Protective-serv,Not-in-family,White,Female,40,United-States,<=50K.
50,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,52,United-States,<=50K.
51,10,Separated,Exec-managerial,Not-in-family,White,Female,60,United-States,<=50K.
